GEO_NAME,areatype,pop_size,division,region,commute,hh_chil,edu_hs,edu_coll,income,income2,no_car,female,age,senior,white,black,indian,asian,hawaiian,other,hispanic
"Binghamton, NY  Metro Area",2,244694,5,3,19.7,27.3,89.9,25.9,44279,44.279,10.6,51.5,40.9,16.3,92.7,4.6,.7,3.2,-999999999,.7,2.5
"Birmingham-Hoover, AL  Metro Area",2,1131070,8,4,26.2,29.6,85.7,27.3,44868,44.868,6.3,51.7,37.3,13,69,28.4,.6,1.3,-999999999,1.7,3.7
"Bismarck, ND  Metro Area",2,106286,3,2,18.6,30.4,91.9,29.3,55748,55.748,4.3,50.9,37.4,13.7,95.5,.8,4.9,.6,-999999999,-999999999,1.5
"Blacksburg-Christiansburg-Radford, VA  Metro Area",2,161615,9,4,20.1,22.5,85.3,28,40623,40.623,7,49.1,28.5,10.8,90.9,5.5,.8,3.9,-999999999,1,2
"Bloomington-Normal, IL  Metro Area",2,167699,4,2,18.4,29.3,93.5,43.5,56027,56.027,6.5,51.5,30.3,10.5,89.2,8.4,.6,3.6,-999999999,.9,3.7
"Bloomington, IN  Metro Area",2,185398,4,2,23,23.2,88.6,30.6,37365,37.365,6,50.8,31.1,11.6,93.2,2.8,.5,3.7,-999999999,1.1,2.1
"Bloomsburg-Berwick, PA  Micro Area",1,86381,5,3,20,26.4,87.2,21.4,43011,43.011,5.4,52,39.3,15.7,96,3.4,1.5,.7,-999999999,.7,3.1
"Bluefield, WV-VA  Micro Area",1,106828,9,4,24.2,26.4,80,15,33398,33.398,9.3,51.7,41.9,17.3,94.5,5.8,-999999999,-999999999,-999999999,.2,.6
"Boise City-Nampa, ID  Metro Area",2,600973,4,2,20.8,35.5,89.7,27.8,48284,48.284,4.4,49.7,33.6,10.4,95,1.6,1.7,2.6,.4,1.9,11.8
"Boston-Cambridge-Quincy, MA-NH  Metro Area",2,4588680,6,3,28.4,28.4,90.6,42.2,69334,69.334,12.7,51.3,38.4,12.9,82.8,8.3,.5,6.6,.1,4.2,8.3
"Boulder, CO  Metro Area",2,303482,2,1,22.3,28,93.8,57.9,63431,63.431,4.7,49.3,35.2,9,89.8,2,.9,4.7,-999999999,5.5,13.5
"Bowling Green, KY  Metro Area",2,121919,8,4,20.8,29,83.9,27.1,41097,41.097,5.5,50.2,33.6,11.6,89.1,9.2,.6,1.4,-999999999,.7,3.9
"Bozeman, MT  Micro Area",1,90343,2,1,16.7,23.6,96.1,45.2,45607,45.607,4,48.6,29.3,8.6,96.2,-999999999,2.3,1.6,-999999999,1.3,2.7
"Bradenton-Sarasota-Venice, FL  Metro Area",2,688126,9,4,22.6,19.6,89.7,27.7,45377,45.377,5.3,51.5,48.1,26.8,89.6,7.1,.7,1.8,-999999999,2.2,10.4
"Brainerd, MN  Micro Area",1,91257,3,2,20.4,25.5,90.9,22.3,41550,41.55,4.8,50.4,44.2,18.9,95,.7,4.8,.9,-999999999,.2,.9
"Branson, MO  Micro Area",1,79447,3,2,23,24.1,83.7,19.2,39956,39.956,5.3,51.3,42.4,20.2,96.8,-999999999,3.5,.7,-999999999,2,3.9
"Bremerton-Silverdale, WA  Metro Area",2,240862,1,1,30.8,30.7,93.2,28.1,60882,60.882,4.6,49.4,39.9,13.1,90.1,3.9,3.2,6.6,1,1.8,5
"Bridgeport-Stamford-Norwalk, CT  Metro Area",2,901208,6,3,27.3,33.9,88.7,43.6,79063,79.063,7.9,51.1,39.3,13.2,78.4,11,.4,4.8,0,6.9,15.9
"Brownsville-Harlingen, TX  Metro Area",2,396371,7,4,20.5,43.3,63,14.6,30864,30.864,9.4,51.8,29.2,11,90.8,.9,.5,.6,-999999999,8.4,86.6
"Brunswick, GA  Metro Area",2,103974,9,4,23,27.7,85.5,21.6,42226,42.226,5.3,51.4,38.7,15.5,73.9,24,-999999999,.9,-999999999,1.9,4.1
"Buffalo-Niagara Falls, NY  Metro Area",2,1123804,5,3,21.1,26.8,88.8,28.2,45811,45.811,13.4,51.7,40.5,15.8,84.1,13,1.2,2.1,-999999999,1.2,3.6
"Burlington-South Burlington, VT  Metro Area",2,207688,6,3,22.3,31.8,91.8,38.2,58219,58.219,6.5,51.1,37.4,10.8,95.9,1.9,1.4,2.3,-999999999,.5,1.7
"Burlington, NC  Metro Area",2,150358,9,4,21.7,29.9,84.1,23,42739,42.739,4.9,51.9,37.7,13.9,71.8,19.3,.6,1.4,-999999999,9.2,11.5
"Canton-Massillon, OH  Metro Area",2,407897,4,2,21.3,27.8,86.1,19.9,44024,44.024,7,51.5,40.8,15.9,91.4,8.1,.9,.9,-999999999,.5,1.2
"Cape Coral-Fort Myers, FL  Metro Area",2,586908,9,4,25.8,23.2,87.2,24.5,45353,45.353,4.3,50.4,44.6,22.7,86.5,8.3,1,1.7,-999999999,4.2,17.4
"Cape Girardeau-Jackson, MO-IL  Metro Area",2,94191,3,2,20.4,28.4,85.1,23.1,41754,41.754,7.2,52,38.4,14.8,91.2,8,1,1.4,-999999999,.3,1.3
"Carson City, NV  Metro Area",2,55176,2,1,17.8,24.4,88.2,22.9,57719,57.719,6.9,49,40.1,16.7,84.2,-999999999,2.9,4.8,-999999999,9.5,21.2
"Casper, WY  Metro Area",2,74508,2,1,17.4,26.9,92,25,56197,56.197,3.4,50,36.1,12.5,97.2,2.4,1.5,1.2,-999999999,.7,6.4
"Cedar Rapids, IA  Metro Area",2,256324,3,2,18.7,31.9,93.2,29.4,53324,53.324,4.9,50.9,37.3,13.2,93,4.2,1.3,2.2,-999999999,1.8,2.1
"Centralia, WA  Micro Area",1,74741,1,1,25.2,30.6,84.4,13,42523,42.523,4.4,49.6,40.7,16.6,95.4,1.1,3.1,.6,-999999999,3.3,8.2
"Chambersburg, PA  Micro Area",1,144994,5,3,23.6,27.9,81.6,19.3,46929,46.929,5.6,51.5,40.4,17.2,95.1,4.3,-999999999,1.2,-999999999,.2,3.7
"Champaign-Urbana, IL  Metro Area",2,224193,4,2,18.1,25.7,93,36.3,41802,41.802,8.5,49.8,28.8,11.3,81.5,11.4,.6,7.2,-999999999,1.2,4
"Charleston-North Charleston-Summerville, SC  Metro Area",2,659191,9,4,24.3,28.6,87.1,31.1,48246,48.246,7.3,51.4,35,11.4,67.9,29.2,.7,2.2,.1,1.5,4
"Charleston, WV  Metro Area",2,304298,9,4,22.6,27.2,85.2,21.2,42148,42.148,8.5,51.4,41.6,15.9,95.4,4.1,3.4,1.1,-999999999,-999999999,1.2
"Charlotte-Gastonia-Concord, NC-SC  Metro Area",2,1745524,9,4,25,32.9,86.7,32.4,51267,51.267,5.8,51.1,35.1,10,70.3,24,1.1,3.2,-999999999,3.5,9.2
"Charlottesville, VA  Metro Area",2,198217,9,4,23.4,24.5,86.5,39.9,55756,55.756,5.4,52.9,38,14,82.4,13.4,1,3.7,-999999999,1.4,3.3
"Chattanooga, TN-GA  Metro Area",2,524221,8,4,22.1,28.6,83,22.5,40697,40.697,6.8,51.6,38.9,14.6,83.3,14.5,.9,1.6,-999999999,1.2,2.8
"Cheyenne, WY  Metro Area",2,88854,2,1,15.9,28.2,90.5,22.2,49744,49.744,3.7,49.8,36.6,12.7,90.5,4.3,1.9,1.9,-999999999,5.2,11.4
"Chicago-Naperville-Joliet, IL-IN-WI  Metro Area",2,9580609,4,2,30.7,31.5,85.9,33.5,58729,58.729,12.1,50.8,35.4,11.2,67.8,18.3,.6,5.9,0,9.3,19.9
"Chico, CA  Metro Area",2,220577,1,1,20.3,23.7,87,23.4,41786,41.786,8.1,50.8,36.7,15.1,89.8,2.4,3.7,5.5,.5,4.6,13.3
"Chillicothe, OH  Micro Area",1,75972,4,2,23.7,24.2,82.9,11.1,41187,41.187,7.1,47.7,38.7,13.6,92.8,6.2,3,-999999999,-999999999,-999999999,.4
"Cincinnati-Middletown, OH-KY-IN  Metro Area",2,2170828,4,2,24,31,87.6,28.5,51832,51.832,9,51.1,36.9,12.2,85.4,12.8,.6,2,-999999999,.8,2.2
"Clarksburg, WV  Micro Area",1,90175,9,4,24.4,28.6,85.7,17,39010,39.01,8.5,51.8,41,15.8,97.8,1.8,1.2,.6,-999999999,-999999999,1
"Clarksville, TN-KY  Metro Area",2,268717,9,4,22.4,36.2,87.5,18.1,41685,41.685,4.7,50.9,31.2,9.9,77.9,20.4,1.1,2.3,.2,1.1,5.3
"Clearlake, CA  Micro Area",1,65279,1,1,28.8,28.5,89.3,18.6,39343,39.343,6,50.7,43.4,17.1,91.7,3.4,5,2.6,-999999999,1.1,16.3
"Cleveland-Elyria-Mentor, OH  Metro Area",2,2091286,4,2,24.4,27.8,87.7,26.9,45395,45.395,10.7,51.9,40.2,14.9,77.2,20.5,.7,2.2,0,1.1,4.5
"Cleveland, TN  Metro Area",2,113193,8,4,21.6,27.8,79.8,18.8,38395,38.395,5,51.8,39.4,15.7,93.2,4.6,.4,.8,-999999999,1.7,3.4
"Coamo, PR  Micro Area",1,72417,10,5,23, , , ,13126,13.126,20,52.2,34.6,12.5,79.7,21.3,-999999999,-999999999,-999999999,15.3,99.5
"Coeur d'Alene, ID  Metro Area",2,139390,4,2,21.7,33.2,91.2,23.1,47431,47.431,3.2,50.8,38.9,14.3,98.1,.6,2.7,1.1,-999999999,.6,3.6
"College Station-Bryan, TX  Metro Area",2,213601,7,4,19,28.8,81.8,33.3,34137,34.137,6.5,49.7,24,8.9,80.4,12.3,.8,4.6,-999999999,3.8,21.5
"Colorado Springs, CO  Metro Area",2,627491,2,1,22.3,32.5,93.5,35.6,55176,55.176,5.6,50.1,35.2,9.8,86.9,8.2,2.2,4.1,.5,3.7,13.4
"Columbia, MO  Metro Area",2,166481,3,2,18.5,30.3,91.3,43.5,46416,46.416,6.1,51.4,29.3,9.3,87.5,9.5,1.3,3.4,-999999999,1.8,2.5
"Columbia, SC  Metro Area",2,745381,9,4,23.6,31.5,88.3,30.8,47615,47.615,6.2,51.8,35.2,11.3,63.2,34.3,.7,2.1,0,1.3,4.1
"Columbia, TN  Micro Area",1,84302,8,4,26.4,28,81.3,14,42806,42.806,4.5,50.9,37.1,13.1,85.8,13.2,-999999999,-999999999,-999999999,-999999999,5.5
"Columbus, GA-AL  Metro Area",2,288135,9,4,20,31.6,83.5,20.8,40335,40.335,8.1,51.6,33.5,11.6,55.3,41.5,1.1,2.2,.3,2.6,4.8
"Columbus, IN  Metro Area",2,76063,4,2,18.2,29.9,90.3,24.1,49415,49.415,3.4,50.5,37.1,14.3,93,2.6,.5,3.6,-999999999,-999999999,4.6
"Columbus, OH  Metro Area",2,1801848,4,2,22.5,31.7,89.8,33.3,50773,50.773,6.8,50.6,34.7,10.5,81.9,15.1,.7,3.5,0,1.1,3.3
"Concord, NH  Micro Area",1,149071,6,3,25.5,27.4,92.1,33.6,63018,63.018,4.1,50.2,40.7,13.5,97.6,2.6,.7,.4,-999999999,-999999999,1.5
"Cookeville, TN  Micro Area",1,105218,8,4,25.4,24.9,75.8,18.4,31790,31.79,5.8,50.9,38.1,15.5,96.5,1.9,1.7,.8,-999999999,-999999999,4
"Coos Bay, OR  Micro Area",1,62795,1,1,16.3,20,86,16.2,34912,34.912,4.4,50.5,47.2,21.7,95.8,1.1,5.6,3.5,-999999999,-999999999,4.6
"Corning, NY  Micro Area",1,96552,5,3,22.5,28.2,86.1,21.2,42635,42.635,7.3,50.7,41.5,15.2,96.3,1.9,.8,1.4,-999999999,-999999999,1.2
"Corpus Christi, TX  Metro Area",2,416095,7,4,20.7,28.7,79.2,19.8,42278,42.278,8,50.8,35.2,12.6,89.4,4,1,1.8,-999999999,5.5,56.6
"Corvallis, OR  Metro Area",2,82605,1,1,17.3,20.4,95.6,49.5,44616,44.616,7.1,50.3,29.8,11.2,89.9,1.5,1.6,6,.2,2.9,6.4
"Cullman, AL  Micro Area",1,81778,8,4,26.7,30.6,74.7,13.4,36628,36.628,5,51.1,37.7,15.5,97.9,.9,1,1.2,-999999999,-999999999,4.4
"Cumberland, MD-WV  Metro Area",2,99736,9,4,20.3,23,87.9,15.5,36261,36.261,10.8,48.6,40.7,17.4,93,6.3,.3,.6,-999999999,-999999999,1.4
"Dallas-Fort Worth-Arlington, TX  Metro Area",2,6447228,7,4,26.1,36.2,81.9,30,54539,54.539,5.2,49.7,33,8.6,70.5,14.8,1.6,5.4,.2,10.2,28
"Dalton, GA  Metro Area",2,134319,9,4,20.9,35.4,67,12,38049,38.049,4.3,50.8,33.9,10.5,91.3,3.3,.8,1.2,-999999999,5.2,25.3
"Danville, IL  Metro Area",2,80067,4,2,19.6,23.9,84.9,14.5,35012,35.012,13.6,51,38.9,16.9,86,13.5,-999999999,.8,-999999999,1.7,3.8
"Danville, VA  Metro Area",2,105814,9,4,23.1,23.1,77.2,14.5,34503,34.503,10.7,52.9,43.8,18.3,66.7,32.2,.5,.5,-999999999,-999999999,3.4
"Daphne-Fairhope-Foley, AL  Micro Area",1,179878,8,4,25.3,32.1,89.2,26.5,48487,48.487,3,51.2,40.3,17.1,86.9,10.2,1,.8,-999999999,2,3.3
"Davenport-Moline-Rock Island, IA-IL  Metro Area",2,380588,3,2,19.2,27.9,89.6,25.5,50454,50.454,6.5,51,38.4,14.6,88.9,7.5,.8,2.1,-999999999,3.5,7.1
"Dayton, OH  Metro Area",2,835063,4,2,20.9,27.8,88.6,24.8,45157,45.157,8.1,51.6,38.6,14.7,83.3,15.5,.7,2,-999999999,.7,1.9
"Decatur, AL  Metro Area",2,151399,8,4,24.3,29.8,78.9,18.6,37704,37.704,4.1,50.8,39.5,14.1,84.2,12.4,3,1,-999999999,1.4,5.6
"Decatur, IL  Metro Area",2,108204,4,2,16.5,25.9,88.8,21.1,44105,44.105,8.4,51.6,39.7,16.3,83,16.5,.5,1.2,-999999999,.8,1.4
"Deltona-Daytona Beach-Ormond Beach, FL  Metro Area",2,495890,9,4,26.3,22.5,86.6,19.6,41459,41.459,6.8,51,44.1,21,83.4,10.8,.8,1.9,-999999999,4.6,10.8
"Denver-Aurora-Broomfield, CO  Metro Area",2,2554474,2,1,26.8,30.6,88.8,37.6,59007,59.007,6.3,49.8,35.4,10.1,84.4,6.3,1.8,4.3,.1,6.2,22.3
"Des Moines-West Des Moines, IA  Metro Area",2,562993,3,2,19.7,32.4,91.9,33.8,56576,56.576,6.2,51,35,11.3,91.8,5.1,.6,3,.1,1.8,6.2
"Detroit-Warren-Livonia, MI  Metro Area",2,4403437,4,2,26,30.4,86.9,26.3,48535,48.535,8.7,51.2,38.7,12.8,72.2,23.6,.8,3.7,0,1.4,3.8
"Dothan, AL  Metro Area",2,142693,8,4,21.3,28.6,81.1,16.1,35879,35.879,6.8,52,39.3,16.2,75.1,23,.9,1.7,-999999999,1,2.3
"Dover, DE  Metro Area",2,157741,2,1,24.5,31.5,84.3,19.8,51485,51.485,7.5,52.2,35.8,13.1,73.3,24.2,1.1,2.7,-999999999,1.2,4.6
"DuBois, PA  Micro Area",1,82324,5,3,23.6,25.9,85.3,12.7,37282,37.282,6.8,49.6,42.4,18.1,96.3,3.3,-999999999,.5,-999999999,.3,1
"Dubuque, IA  Metro Area",2,93072,3,2,18.2,29.3,90.2,24.1,46637,46.637,5.9,51.2,38.1,15.4,97.1,1.5,1.2,1,-999999999,.5,1.9
"Duluth, MN-WI  Metro Area",2,277637,3,2,19.4,24.6,91.5,23.5,44597,44.597,7.4,50.2,41.2,15.8,94.8,1.7,3.5,1,-999999999,.5,1.1
"Dunn, NC  Micro Area",1,115761,9,4,29.6,37.6,82.9,18.5,43815,43.815,4.4,53.3,32.3,9.2,73,22.9,2.6,1.4,-999999999,4.2,9.1
"Durham-Chapel Hill, NC  Metro Area",2,501228,9,4,22.6,28.7,86.9,44.3,49902,49.902,7,51.8,34.2,10.7,63,28,1.3,4.5,.1,5.8,9.9
"East Liverpool-Salem, OH  Micro Area",1,107722,4,2,24.7,27.1,84.3,10.9,37595,37.595,7.1,49.8,43.1,16.4,96.7,3.3,1,-999999999,-999999999,.8,1
"East Stroudsburg, PA  Micro Area",1,166355,5,3,38.1,34.3,88.9,25.3,54879,54.879,4.9,50.1,39.2,12.7,83.9,13.4,.8,3.2,-999999999,2.1,12.7
"Eau Claire, WI  Metro Area",2,160018,4,2,17.2,27.7,91.7,25,44623,44.623,4.9,50.1,35.9,13.2,96.2,1,1.1,2.5,-999999999,.5,1.2
"El Centro, CA  Metro Area",2,166874,1,1,19.3,40.2,63.3,14.9,38594,38.594,10.8,48.5,30.3,10.3,70.2,3.9,2.5,2.6,.1,23.3,77.3
"El Paso, TX  Metro Area",2,751296,7,4,23,38.5,71.7,20.4,36146,36.146,7.8,51.7,30.6,10.5,81.4,3.4,1.2,1.5,.1,14.6,81.8
"Elizabethtown, KY  Metro Area",2,113363,8,4,19.8,37.2,85.9,17.7,45224,45.224,5.6,50.7,35.4,12,87.8,11.2,.8,2.5,-999999999,.7,3.8
"Elkhart-Goshen, IN  Metro Area",2,200502,4,2,19.7,35.9,81.9,19,42781,42.781,7.4,50.2,34,11.3,84.9,6,.9,1.5,-999999999,8,15.1
"Elmira, NY  Metro Area",2,88331,5,3,19.9,29.5,87.6,19.4,43727,43.727,13.2,51.3,42,15.8,92.3,7.6,.3,1.3,-999999999,-999999999,2.3
"Enterprise-Ozark, AL  Micro Area",1,96782,8,4,21.3,27.6,83.4,21.1,43461,43.461,7.2,51.4,35.6,13.5,78.4,19,1.8,1.7,-999999999,.7,4.6
"Erie, PA  Metro Area",2,280291,5,3,18.5,27.3,88.6,24,42888,42.888,10.3,50.9,38.5,14.6,91.9,7.6,.5,1,-999999999,1.3,3.1
"Eugene-Springfield, OR  Metro Area",2,351109,1,1,19.8,23.4,90.6,27,39867,39.867,8,51,38.5,14.4,92.9,2.1,2.7,4,.6,2.3,6.5
"Eureka-Arcata-Fortuna, CA  Micro Area",1,129623,1,1,17.3,24.7,91,26.5,35745,35.745,7.1,50.1,36.2,12.9,86.5,2,6.6,3.2,2.4,2.7,8.9
"Evansville, IN-KY  Metro Area",2,351589,4,2,20.7,29.6,87.7,20.6,46462,46.462,7,51.4,39.2,14.2,92.4,6.8,.8,.9,-999999999,.4,1.3
"Fairbanks, AK  Metro Area",2,98660,10,5,17.3,33.4,93.9,26.5,70610,70.61,4.8,47.3,28.8,5.9,84.2,7,9.2,3.7,.6,2,6.8
"Fajardo, PR  Metro Area",2,80707,10,5,27.8, , , ,20743,20.743,17.9,52.4,37.8,15.3,68,12.3,-999999999,-999999999,-999999999,23.7,98.7
"Fargo, ND-MN  Metro Area",2,199989,3,2,17.3,26.5,93.3,33.7,45483,45.483,5.7,50.3,30.2,10.2,93.3,2.4,2.2,2.1,-999999999,1.1,2.8
"Farmington, NM  Metro Area",2,124131,2,1,26.8,35.5,80.3,15.8,47075,47.075,5.5,50.2,31.7,10.4,56.7,1.5,37.4,.8,-999999999,5.4,18.6
"Fayetteville-Springdale-Rogers, AR-MO  Metro Area",2,460769,7,4,20.6,33,83.2,24.8,44243,44.243,5.1,50.3,33.4,11.1,86.4,3,2.6,2.7,.4,7.1,14.1
"Fayetteville, NC  Metro Area",2,360355,9,4,21.7,33.8,87.6,19.9,40495,40.495,6.7,51.6,29.7,9.2,57.3,38.2,4.5,2.8,.6,3.4,7
"Findlay, OH  Micro Area",1,74538,4,2,16.4,28.8,92.3,28.4,47556,47.556,5.1,51.5,38.3,14.4,94.6,2,-999999999,2.3,-999999999,1.8,3.9
"Flagstaff, AZ  Metro Area",2,129849,2,1,19.8,25.8,85.8,26.6,50769,50.769,4.5,50.3,29,8.1,62.3,1.9,30.8,2.2,-999999999,6,12.9
"Flint, MI  Metro Area",2,424043,4,2,25.3,28.9,87.8,18.9,41382,41.382,8.1,51.8,38.1,13.4,78.4,20.6,1.5,1.4,.1,.7,2.6
"Florence-Muscle Shoals, AL  Metro Area",2,144238,8,4,21.6,25.3,81.2,18.8,37721,37.721,6.2,51.1,39.9,16.5,86.1,13.4,.8,.3,-999999999,-999999999,1.8
"Florence, SC  Metro Area",2,200653,9,4,21.4,28.4,80,19.9,38277,38.277,8.6,52.4,38.1,13.6,57.5,41.3,.6,1.1,-999999999,.6,1.7
"Fond du Lac, WI  Metro Area",2,100070,4,2,18.5,29.1,91.3,18.4,50216,50.216,5.5,50.5,39.7,14.6,97.3,1.8,.8,1.2,-999999999,.9,3.7
"Fort Collins-Loveland, CO  Metro Area",2,298382,2,1,22.4,26.6,93.3,41,55676,55.676,3.8,49.8,35.1,11.5,94,1.5,1.5,2.4,.1,2.8,10.2
"Fort Payne, AL  Micro Area",1,69380,8,4,21.5,33,63.1,9.5,33057,33.057,4.1,51.8,38.1,14.2,94.3,2.5,3.5,-999999999,-999999999,-999999999,11.7
"Fort Smith, AR-OK  Metro Area",2,293053,7,4,20,30.9,79.4,14.4,36572,36.572,5.8,50.7,37.3,13.5,90.4,4.2,8.9,2.5,-999999999,1.4,7.9
"Fort Walton Beach-Crestview-Destin, FL  Metro Area",2,178473,9,4,22.4,29,89.9,26,49207,49.207,3.6,50.6,37.6,14,85.4,11.1,1.6,4.9,-999999999,1.1,6.3
"Fort Wayne, IN  Metro Area",2,415969,4,2,20.8,32.4,88.7,24,47069,47.069,7.5,51,35.9,12.1,84.9,11.1,.9,2.1,-999999999,2.8,5.7
"Frankfort, KY  Micro Area",1,70758,8,4,20.7,30.7,86.5,27.9,46160,46.16,4.6,52.5,38.5,12.8,90.7,8.8,-999999999,1.3,-999999999,1,1.9
"Fresno, CA  Metro Area",2,915267,1,1,21.5,38.1,71.9,19.8,45661,45.661,9,49.4,30.5,9.8,69,5.9,2.2,9.7,.2,16.7,49.3
"Gadsden, AL  Metro Area",2,103645,8,4,22.7,25.9,84,15.2,39118,39.118,3.4,52,39.2,16.1,84.5,15.1,.8,.7,-999999999,.9,3.3
"Gainesville, FL  Metro Area",2,259587,9,4,20.6,21.6,88.6,37.5,37654,37.654,7,51,27.9,11.3,74.8,19.7,1.4,5.3,.1,1.7,7.5
"Gainesville, GA  Metro Area",2,187743,9,4,25.3,36,75.9,21.7,49015,49.015,4.9,49.4,33.3,10.1,82.9,7.6,.5,2,-999999999,8,27.2
"Galesburg, IL  Micro Area",1,67861,4,2,20,24.3,84.4,16.6,39927,39.927,8.4,50.5,41.7,19,91.2,6.7,.8,.9,-999999999,2.5,4.3
"Gallup, NM  Micro Area",1,70513,2,1,21.8,24.7,72,10.3,34948,34.948,13.1,50.8,30.4,9.3,21.1,1.5,77.9,-999999999,-999999999,2.3,14.5
"Gettysburg, PA  Micro Area",1,102323,5,3,27,32.2,83.9,16.3,56628,56.628,4.8,50.4,40.8,14.9,93.4,2.3,.3,.9,-999999999,3.9,6.2
"Glens Falls, NY  Metro Area",2,128774,5,3,23.7,26.7,88.9,21.2,51075,51.075,6.3,49.6,42.6,16.4,96.2,2.4,.6,.8,-999999999,.5,2.1
"Goldsboro, NC  Metro Area",2,113811,9,4,21.7,33.6,82.6,18.3,40944,40.944,8,51.6,36.4,12.9,62.5,33.1,.8,2,-999999999,5.4,7.4
"Grand Forks, ND-MN  Metro Area",2,96578,3,2,15.1,25.2,91.6,27.1,42271,42.271,6.6,48.5,29.8,12.1,93.6,2.6,5,.9,-999999999,1.4,4
"Grand Island, NE  Micro Area",1,72302,3,2,15.4,32.3,80.5,14.9,45402,45.402,4.9,50.4,35.5,13.5,93.5,2.6,.7,.7,-999999999,3,17.8
"Grand Junction, CO  Metro Area",2,146093,2,1,20.9,32.9,88.5,27.3,52882,52.882,5.5,50.9,37.7,13.9,94,.9,2.8,1,-999999999,3.6,12.7
"Grand Rapids-Wyoming, MI  Metro Area",2,778009,2,1,22.1,33,88.3,26.4,47150,47.15,6.1,50.1,35.1,11.3,87.9,8.6,1,2,-999999999,2.7,8.2
"Grants Pass, OR  Micro Area",1,81026,1,1,18.9,21.7,87.3,16,34754,34.754,6.1,52.3,47.2,21.9,97,1.3,1.7,1.2,-999999999,.6,5.7
"Great Falls, MT  Metro Area",2,82178,2,1,14.2,25.3,90.6,23.8,40518,40.518,6.3,50.8,37.9,15.5,93.3,2.7,7.3,.3,-999999999,-999999999,3.3
"Greeley, CO  Metro Area",2,254759,2,1,25.7,36.5,84.5,24.9,54710,54.71,3.8,49.5,32.7,8.3,93.7,2,1.9,1.7,.2,4,27.6
"Green Bay, WI  Metro Area",2,304783,4,2,19.9,31,89.5,22.3,50315,50.315,4.3,50.2,37.4,12.2,92.8,2.1,2.7,2.4,-999999999,1.3,5.6
"Greeneville, TN  Micro Area",1,66282,8,4,23.2,28,78.7,12.8,33601,33.601,4.4,50.4,41.7,16.9,95.3,3.1,-999999999,-999999999,-999999999,-999999999,2.4
"Greensboro-High Point, NC  Metro Area",2,714765,9,4,22.3,29.7,83.6,25.8,41272,41.272,6.5,52,37.7,13.2,68.3,26,.9,2.8,-999999999,3.7,7.3
"Greenville-Mauldin-Easley, SC  Metro Area",2,639617,9,4,22.1,29.3,83.6,27.9,43283,43.283,5.9,50.7,37.5,12.7,80,17.1,.6,2.1,.3,1.8,6.7
"Greenville, NC  Metro Area",2,179715,9,4,19.7,27.8,84.4,26.3,36129,36.129,8.7,51.6,31.1,10.2,62.6,37.3,.9,1.4,-999999999,1,5
"Greenwood, SC  Micro Area",1,69671,9,4,20.4,30.9,82.5,19,41975,41.975,5.7,53.5,37.6,14.9,64.7,31,1,1.6,-999999999,2.9,5.5
"Guayama, PR  Metro Area",2,84736,10,5,24.1, , , ,16027,16.027,22,51.2,35.7,11.9,73.6,26.6,-999999999,-999999999,-999999999,15.6,99.4
"Gulfport-Biloxi, MS  Metro Area",2,243780,8,4,25.5,32.1,84.5,19,42979,42.979,4.9,50.2,35.6,12.7,76.1,21.6,1.3,3.1,-999999999,.7,3.7
"Hagerstown-Martinsburg, MD-WV  Metro Area",2,263816,9,4,29.5,30.2,84.6,18.3,48653,48.653,6.5,49.7,38.4,13.4,90.4,8.9,1,1.5,-999999999,.7,3
"Hammond, LA  Micro Area",1,118688,7,4,29.6,31.6,79.6,18.8,37672,37.672,5.8,51.7,32.9,11.3,70.3,29,.5,-999999999,-999999999,.4,2.4
"Hanford-Corcoran, CA  Metro Area",2,148764,1,1,22.5,41.5,72.6,12.5,44506,44.506,7.1,41.7,30.3,7.7,73.9,8.9,1.7,4,.3,14.6,49.9
"Harrisburg-Carlisle, PA  Metro Area",2,536919,5,3,21.7,26.1,88.8,28.5,53036,53.036,7.9,51.4,39.5,14.5,87.5,10.6,.5,2.7,-999999999,1.2,4.1
"Harrisonburg, VA  Metro Area",2,120271,9,4,21,29,76.8,24.2,42657,42.657,7.9,51.3,32,12.3,92.8,4,.4,2.1,-999999999,1.3,8.9
"Hartford-West Hartford-East Hartford, CT  Metro Area",2,1195998,6,3,22.5,30.4,88.9,34.7,65698,65.698,8.5,51.2,39.6,14.1,79.8,11.9,.6,3.8,.1,6.1,11.6
"Hattiesburg, MS  Metro Area",2,143931,8,4,23.4,30.6,85.5,24.8,40451,40.451,6.4,51.5,30.3,11.4,69.5,29.1,-999999999,1,-999999999,-999999999,.6
"Helena, MT  Micro Area",1,70185,2,1,18.4,25.3,94.7,35,54872,54.872,3.8,48.9,43,12.9,95.4,-999999999,3.9,1.1,-999999999,.6,2.4
"Hickory-Lenoir-Morganton, NC  Metro Area",2,365364,9,4,21.9,28,76.7,14.6,37351,37.351,6.4,50.4,39.8,14.7,87.4,7.8,1.1,2.6,-999999999,3.5,6.8
"Hilo, HI  Micro Area",1,177835,10,5,23,27.3,91.6,27.3,53828,53.828,5.1,49,39.3,14.1,53.8,2.2,3.9,43.2,30.6,4.4,11.9
"Hilton Head Island-Beaufort, SC  Micro Area",1,178436,9,4,21.4,24.8,89.7,34,52668,52.668,4,51,40.3,19.3,72.2,24.7,.5,1.1,-999999999,2.8,10.7
